Username,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Followers Count,Connections
gisay_74xoxo,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
gunsnroses_n,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
calacote,0.04803202134756504,0.0006772644449918531,0.39983995732195254,0.01906684314343451,2,72
badboyshah,0.0266844563042028,2.949187354777944e-05,0.39941380229150014,0.019037965155567754,9,40
suzinistor,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
thehxliday,0.0133422281521014,3.747116028948573e-06,0.3905680041688379,0.010605124734589454,7,20
joejonas,0.0533689126084056,0.0003162138043322335,0.4173162583518931,0.04242009896945142,0,80
meaghan.glm,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
georgerhoadsmx,0.06404269513008672,0.002015331145223265,0.4046976241900648,0.025978247615171916,1,96
moratvina,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
anxiousbibliophilee,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
carlyraejepsen,0.03735823882588392,0.0003419957357834362,0.40524466071911325,0.0248767827059491,0,56
teemarie2425,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
issamalnajjar,0.03068712474983322,5.299287578197729e-05,0.40005337603416063,0.024089703206334218,5,46
garcinuno_,0.00266844563042028,0.0002658898415308476,0.3626905395596419,0.0005220648708491344,0,4
universalmusickorea,0.1534356237491661,0.0012717646925155552,0.4113611416026345,0.08541661163566522,12,230
bradenbales,0.06137424949966644,0.0001868898048778108,0.40187667560321716,0.037547241734405094,14,92
nickcastle9,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
universalmusicgroup,0.21614409606404267,0.00812050450804173,0.43843229014331675,0.08156527457510714,0,324
umusichotelmadrid,0.08405603735823881,0.012398432365823114,0.4763266603114077,0.03605530525375167,6,126
trapicalminds,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
lacumbredelrock,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
